ticker,AvgGrowth,CapExGrowth
COST,0.20,0.20
DIS
HON
NFLX
UNP
UPS
LOW
QCOM
AMD
PYPL
HD
ZM
CMG
BBY
DLTR
DAL
TGT
BKNG
INTC
T
TXN
WHR
WLT
SFM
