ticker,AvgGrowth,CapExGrowth
MSFT
AAPL
NVDA
AMZN
META
GOOGL
GOOG
BRK.B
LLY
AVGO
JPM
XOM
TSLA
UNH
V
PG
MA
COST
JNJ
HD
MRK
NFLX
WMT
ABBV
CVX
AMD
BAC
KO
PEP
QCOM
TMO
WFC
CRM
LIN
ADBE
CSCO
ORCL
DIS
MCD
AMAT
ACN
GE
TXN
ABT
CAT
VZ
DHR
AMGN
NEE
PFE
INTC
CMCSA
PYPL
CCI
TMUS
HON
MDT
UPS
GS
IBM
F
RTX
BA
PM
MO
AXP
GILD
DE
CVS
USB
LRCX
MMM
LOW
TGT
ADP
SCHW
SYK
ANTM
BKNG
NOW
CI
SPGI
CB
ISRG
MDLZ
BIIB
BLK
PNC
SBUX
DUK
SO
COP
