ticker,AvgGrowth,CapExGrowth
AAPL
MSFT
AMZN
TSLA
GOOGL
GOOG
NVDA
META
AVGO
ADBE
PEP
COST
CSCO
NFLX
INTC
CMCSA
TMO
TXN
PYPL
AMGN
QCOM
AMD
AMAT
GILD
SBUX
CHTR
INTU
ISRG
REGN
BKNG
LRCX
ADP
MDLZ
MU
ADI
BIIB
VRSN
MELI
CSX
JD
MRVL
ASML
KDP
MAR
CTAS
FISV
SGEN
EA
PDD
PCAR
KLAC
ANSS
SNPS
CDNS
EXC
LULU
VRTX
BIDU
DXCM
IDXX
WBA
MNST
FAST
EBAY
ALGN
SPLK
PAYX
ORLY
DLTR
XEL
ROST
CERN
SWKS
TEAM
CPRT
TTWO
MCHP
ZM
NTES
CTSH
CDW
FOXA
VRSK
WDAY
MXIM
DOCU
OKTA
PANW
ABNB
AKAM
SIRI
INCY
ZS
NWSA
CSGP
CRWD
MRNA
MELI
LBTYA
CHKP
