date,Ticker,current_price,avg_growth,avg_capex,forecasted_share_price_avg_growth,eg_growth,forecasted_share_price_eg_growth,forecasted_share_price_quaterly_growth
2023-08-31 00:00:00,COST,734.7999877929688,0.1553347760580274,0.15744731042267188,155.82686307861763,0.2,216.13274354953336,
2023-01-31 00:00:00,KR,56.54999923706055,-0.34879591085435957,0.04494833164421407,-55.914589178269395,0.1,56.15222513033524,
2023-12-31 00:00:00,SFM,63.59000015258789,-0.12760494524298163,0.2891830345108659,-65.65367652076725,0.2,106.85099402216844,
2023-09-30 00:00:00,AAPL,172.27999877929688,0.11983279560370996,0.16868461204843754,92.20135379743361,0.1,87.28413263426414,
2023-06-30 00:00:00,MSFT,428.739990234375,0.10481718633205946,0.223509074758285,57.622313054386694,0.1,118.58999154677052,
2023-12-31 00:00:00,AMZN,178.8699951171875,-1.4426705517459546,0.1306475150044374,-102.7569680779676,0.1,20.230354854983666,
2024-01-31 00:00:00,NVDA,942.8900146484375,2.0988495664437425,0.1088396474470768,1085903.443687245,0.1,69.57401906881768,
2023-12-31 00:00:00,TSLA,170.8300018310547,0.3449004756560982,0.5358874395316195,-220.3002309664361,0.1,33.30322339276043,
2023-12-31 00:00:00,GOOGL,150.77000427246094,0.2058992460949097,0.13600144366048528,299.9700524409481,0.1,153.40516594034898,
2023-12-31 00:00:00,GOOG,151.77000427246094,0.2058992460949097,0.13600144366048528,311.7128472366664,0.1,159.41045003315105,
2023-09-30 00:00:00,V,283.260009765625,0.27643013466285526,0.14183984564163046,424.0440929873466,0.1,130.2186191663984,
2023-12-31 00:00:00,MA,481.6700134277344,0.1911704389358521,0.1630597228452705,258.97260722382157,0.1,141.87734480981976,
2023-10-31 00:00:00,AVGO,1353.469970703125,0.1513587048228503,-0.006682732982196214,620.4713192494673,0.1,420.4973562681465,
2024-01-31 00:00:00,HD,390.2799987792969,0.07904312113507095,0.09721176983165047,162.91235762074461,0.1,210.43156017827843,
2023-08-31 00:00:00,ACN,337.5,0.05762792815689043,-0.019482993706524055,131.28728401298096,0.1,171.48030093019287,
2023-11-30 00:00:00,ADBE,499.5199890136719,0.1032788643083113,-0.028285497815964927,192.5854871455653,0.1,185.2560918209155,
2023-05-31 00:00:00,NKE,93.86000061035156,1.0348096515132355,0.0029915885656174126,15560.699376273084,0.1,61.47882307215726,
2023-09-30 00:00:00,QCOM,170.10000610351562,0.39791654707507584,0.06032699311538168,938.89745368262,0.1,120.43546709112327,
2023-12-31 00:00:00,UNP,244.97000122070312,-0.04692571881804467,0.07739248152283407,-28.87417173029363,0.1,119.37720320339108,
2023-12-31 00:00:00,UPS,156.27000427246094,0.1833206949286207,-0.002128783149707635,319.51612524663057,0.1,134.04778671488168,
2023-10-31 00:00:00,DE,398.8599853515625,0.9222392462554919,0.2063722839920211,64762.40651287128,0.1,79.78996125509157,
2023-01-31 00:00:00,LOW,258.5,-0.1446983617859196,0.010832781163116053,-36.16718593325958,0.1,141.74023353186345,
2023-12-31 00:00:00,CAT,358.1099853515625,0.37021431691114265,0.13661935748058404,1382.1903093857402,0.1,146.90515258742388,
2023-12-31 00:00:00,TXN,172.47999572753906,-0.22824691165070754,1.2475368953697803,-25789.225536518905,0.1,97.77638578922328,
2023-12-31 00:00:00,AMD,179.64999389648438,0.8238023458590141,0.24405315614617942,2952.1155407289484,0.1,31.69758568622077,
2023-10-31 00:00:00,AMAT,210.25,0.34141037364735166,0.38880627430950804,444.4006856898027,0.1,99.13387449749946,
2023-12-31 00:00:00,BKNG,3624.72998046875,-3.9757741960765185,0.07032112624217886,10984354.775298763,0.1,1062.0165572451617,
2023-01-31 00:00:00,TJX,99.4800033569336,-0.0952891812868408,0.6170235528000539,-327.09395175228474,0.1,24.73233888019851,
2023-12-31 00:00:00,NOW,774.1500244140625,0.26030391363698546,0.1907622712384617,149.77435238601032,0.1,49.21628319139714,
2023-05-31 00:00:00,ORCL,127.79000091552734,0.07942124267689939,0.8018268686477971,-1534.1062981127131,0.1,29.53251284700831,
2023-06-30 00:00:00,ADP,247.61000061035156,0.16193451573190254,-0.017495677497718316,170.59617685563305,0.1,105.5244275343033,
2023-12-31 00:00:00,NFLX,628.010009765625,-3.684422487083286,-0.10478352685150834,1964549.826930201,0.1,589.0270568623173,
2023-06-30 00:00:00,LRCX,977.9000244140625,0.43474407313624436,0.4001216841967166,3781.82877776602,0.1,441.4046033946711,
2023-12-31 00:00:00,ITW,268.6600036621094,0.10955261596829964,0.25016603735544,101.99234479303847,0.1,125.02565508657037,
2023-12-31 00:00:00,UBER,80.2300033569336,1.7722263072727167,-0.26189184914017133,-73265.18002926781,0.1,-22.38138517649294,
2023-01-31 00:00:00,DELL,112.23999786376953,-0.5598536195171122,0.20848690801598002,-313.4876984861698,0.1,280.96212484127796,
2023-12-31 00:00:00,UBER,80.2300033569336,1.7722263072727167,-0.26189184914017133,-73265.18002926781,0.1,-22.38138517649294,
2023-12-31 00:00:00,WM,211.77999877929688,0.03698961166944673,0.21481399221201172,-127.79522262672528,0.1,28.901003001031807,
2023-12-31 00:00:00,SHW,342.8699951171875,0.116352720369113,0.4451498571182855,-145.71734893118753,0.1,102.37274402786406,
2023-01-31 00:00:00,DG,150.6999969482422,-0.5667514012606241,0.2496010442786413,-290.52293287627947,0.1,76.92314008736871,
2023-12-31 00:00:00,CDNS,322.739990234375,0.1575752878597323,0.12928642426970663,68.04699926041224,0.1,47.63251521548185,
2023-01-31 00:00:00,ADSK,262.8599853515625,0.2374596581948876,-0.3077580845771144,171.30964116188628,0.1,64.49700130638372,
